r_err	mag	sus	N	T	h	gamma	n	filetered error
181.6008756	0.622136364	0.612946345	100	1.448	0	2.36	100	181.6008756
181.2377877	0.633010909	0.599297189	100	1.016	0	2.5	100	181.2377877
180.365911	0.609927273	0.627988722	100	2.168	0	2.03	100	180.365911
179.8409377	0.717187273	0.485642416	100	1.592	0	2.135	100	179.8409377
179.2898034	0.711136364	0.494285072	100	1.016	0	2.345	100	179.2898034
178.4922184	0.771427273	0.404899963	100	0.68	0	2.18	100	178.4922184
178.3738668	0.765370909	0.414207372	100	1.496	0	2.075	100	178.3738668
177.8773731	0.622930909	0.611957082	100	1.784	0	2.435	100	177.8773731
177.6623286	0.777025455	0.396231443	100	1.016	0	2.475	100	177.6623286
176.4495875	0.026316364	0.999307449	100	4.856	0	2.235	100	176.4495875
175.3972928	0.98908	0.021720754	100	0.392	0	2.06	100	175.3972928
174.5802511	0.640192727	0.590153272	100	1.592	0	2.025	100	174.5802511
173.2010393	0.056316364	0.996828467	100	1.928	0	2.48	100	173.2010393
172.825909	0.602069091	0.63751281	100	1.352	0	2.435	100	172.825909
171.8049366	0.158145455	0.974990015	100	2.84	0	2.24	100	171.8049366
171.0197931	0.733903636	0.461385453	100	1.592	0	2.065	100	171.0197931
170.227085	0.524643636	0.724749055	100	2.216	0	2.26	100	170.227085
168.8669605	0.062269091	0.99612256	100	2.024	0	2.425	100	168.8669605
168.8325114	0.818490909	0.330072632	100	1.304	0	2.005	100	168.8325114
167.7062143	0.591056364	0.650652375	100	2.36	0	2.045	100	167.7062143
167.5436737	0.622076364	0.613020998	100	1.64	0	2.35	100	167.5436737
167.4748422	0.015358182	0.999764126	100	3.992	0	2.365	100	167.4748422
166.6502126	0.685234545	0.530453618	100	1.544	0	2.115	100	166.6502126
166.3277353	0.5426	0.70558524	100	3.272	0	2.015	100	166.3277353
165.9338809	0.584132727	0.658788957	100	1.784	0	2.2	100	165.9338809
165.4150562	0.102801818	0.989431786	100	2.984	0	2.085	100	165.4150562
164.3914314	0.622021818	0.613088858	100	2.072	0	2.165	100	164.3914314
164.2442997	0.777945455	0.39480087	100	0.968	0	2.195	100	164.2442997
164.1312435	0.805636364	0.35095005	100	0.584	0	2.185	100	164.1312435
163.2595977	0.391367273	0.846831658	100	2.216	0	2.335	100	163.2595977
162.9709826	0.62916	0.604157694	100	1.64	0	2.15	100	162.9709826
162.0460417	0.755689091	0.428933998	100	1.448	0	2.235	100	162.0460417
161.7852471	0.494974545	0.755000199	100	3.032	0	2.215	100	161.7852471
160.8551021	0.52582	0.723513328	100	2.12	0	2.46	100	160.8551021
159.6844256	0.462332727	0.786248449	100	3.224	0	2.08	100	159.6844256
159.3456869	0.605909091	0.632874174	100	1.064	0	2.385	100	159.3456869
