r_err,mag,sus,N,T,h,gamma,n,no_h_err,model
0.210738403,0.069194836,0.000457993,2500,3.08,0,3.14,50,0.206399688,SF
2.591226245,0.487544945,9.31E-05,2500,3.176,0,2,50,2.539449954,SF
0.343773375,0.0201184,5.21E-05,2500,4.328,0,4.4,50,0.336828804,SF
2.42055538,0.845919491,0.00023433,2500,0.296,0,2.06,50,2.402468374,SF
0.208934715,0.024838982,0.000139731,2500,2.504,0,4.16,50,0.204644406,SF
1.791665069,0.407938545,0.001622517,2500,0.584,0,4.88,50,1.755862623,SF
0.270845404,0.022235855,7.88E-05,2500,3.656,0,3.44,50,0.265367689,SF
2.085491281,0.782596655,0.000151609,2500,0.776,0,2.18,50,2.043788683,SF
0.304684583,0.027765527,8.30E-05,2500,5,0,3.08,50,0.298551915,SF
0.187744576,0.026150764,0.000173629,2500,2.216,0,4.76,50,0.18387649,SF
2.627453026,0.561108582,0.000191071,2500,1.64,0,2.54,50,2.574953435,SF
2.628595326,0.311692364,0.000112263,2500,4.04,0,2.3,50,2.576120714,SF
2.62465877,0.606748,0.001604387,2500,0.584,0,3.5,50,2.572182781,SF
0.163172945,0.031127273,0.000287695,2500,1.928,0,4.58,50,0.159772114,SF
1.818694999,0.209081236,0.00014621,2500,3.944,0,2.72,50,1.782541741,SF
0.226726813,0.022933527,0.00011486,2500,2.6,0,5,50,0.222130769,SF
0.165469612,0.035740873,0.000360648,2500,1.928,0,4.46,50,0.162036025,SF
2.833148493,0.628084436,0.001588352,2500,0.584,0,3.38,50,2.776498834,SF
0.301715144,0.020622691,6.42E-05,2500,3.752,0,4.28,50,0.295606717,SF
0.236470154,0.023492873,0.000109376,2500,2.888,0,4.64,50,0.231677103,SF
1.503242147,0.828827491,0.000138097,2500,0.584,0,2.12,50,1.47320315,SF
0.214229845,0.027838691,0.000153018,2500,2.888,0,3.74,50,0.209863549,SF
2.470895436,0.615337018,9.11E-05,2500,2.312,0,2,50,2.421492651,SF
0.228827846,0.024244945,0.000112707,2500,2.984,0,3.92,50,0.224180667,SF
0.188889721,0.033634036,0.000251999,2500,2.408,0,3.86,50,0.185030414,SF
1.83632123,0.2187688,0.000116831,2500,4.424,0,2.6,50,1.799814349,SF
0.223804928,0.069398473,0.000365757,2500,3.464,0,3.08,50,0.219247095,SF
0.163447823,0.030850473,0.000283813,2500,1.928,0,4.64,50,0.160027437,SF
0.367332577,0.019491418,4.87E-05,2500,4.424,0,4.4,50,0.35991975,SF
0.345970777,0.020350836,4.82E-05,2500,4.808,0,3.74,50,0.338994928,SF
2.290924582,0.687747127,0.000105085,2500,1.64,0,2.12,50,2.245118097,SF
2.03720504,0.452874109,0.002516476,2500,0.488,0,4.88,50,1.99648696,SF
2.733484597,0.674166255,0.000413896,2500,0.488,0,3.14,50,2.678828173,SF
0.217906281,0.024449527,0.000123805,2500,2.696,0,4.52,50,0.213423507,SF
0.194411898,0.099108582,0.000480833,2500,2.6,0,3.26,50,0.190450766,SF
0.258593142,0.034314545,0.000152808,2500,3.752,0,3.32,50,0.253303208,SF
0.56854828,0.201285018,0.000331753,2500,2.696,0,2.96,50,0.557726228,SF
0.26605473,0.023645455,8.07E-05,2500,3.944,0,3.38,50,0.260683348,SF
0.287568509,0.020662618,6.83E-05,2500,3.56,0,4.7,50,0.281715116,SF
1.783626729,0.240242691,0.00012774,2500,4.232,0,2.48,50,1.748149407,SF
2.720627968,0.459492945,0.00010095,2500,3.176,0,2.3,50,2.666269775,SF
0.363261842,0.019366109,4.99E-05,2500,4.328,0,4.58,50,0.355953508,SF
2.341889003,0.758819709,0.000249031,2500,0.488,0,2.54,50,2.295078972,SF
0.227198859,0.037843927,0.000224733,2500,3.08,0,3.5,50,0.222598423,SF
0.228962161,0.031267491,0.000152186,2500,3.464,0,3.2,50,0.22433357,SF
0.313036467,0.291669164,0.001620251,2500,1.064,0,4.52,50,0.307117763,SF
0.223120466,0.023108727,0.000119598,2500,2.6,0,4.76,50,0.218560451,SF
1.907821283,0.653236291,0.144089301,2500,0.296,0,2.78,50,1.86980852,SF
0.16362813,0.027874691,0.000238703,2500,1.832,0,5,50,0.16021353,SF
2.282259297,0.515173236,0.061626056,2500,0.296,0,3.8,50,2.236651219,SF
3.264859089,0.379475709,0.000100222,2500,3.752,0,2.3,50,3.199609215,SF
0.26789355,0.021202691,7.78E-05,2500,3.368,0,4.58,50,0.262436058,SF
1.336056393,0.212357673,0.000189812,2500,3.368,0,2.72,50,1.309606929,SF
1.872638785,0.767603782,0.000275853,2500,0.392,0,2.6,50,1.835288507,SF
0.16097136,0.145021164,0.000879076,2500,2.024,0,3.62,50,0.157645116,SF
0.411029439,0.019318473,4.35E-05,2500,4.904,0,4.22,50,0.402775946,SF
2.815165395,0.528423418,9.72E-05,2500,2.792,0,2.12,50,2.758890507,SF
0.305299346,0.020167636,6.10E-05,2500,3.752,0,4.46,50,0.299136431,SF
2.509289842,0.668557382,0.000116541,2500,1.64,0,2.18,50,2.459119833,SF
0.227876565,0.023851564,0.000118781,2500,2.696,0,4.46,50,0.223228017,SF
2.53188976,0.682816,0.00097506,2500,0.392,0,3.2,50,2.481290267,SF
0.365897858,0.019914255,4.66E-05,2500,4.808,0,3.92,50,0.358537632,SF
0.289793946,0.057718982,0.000166658,2500,4.808,0,3.02,50,0.283957657,SF
1.514247467,0.244344218,0.000276499,2500,2.504,0,3.02,50,1.48413582,SF
0.25481004,0.089771782,0.000201044,2500,4.328,0,2.9,50,0.249614242,SF
0.168915111,0.030365891,0.000271436,2500,1.928,0,5,50,0.165409069,SF
0.369314141,0.019295855,5.07E-05,2500,4.136,0,4.94,50,0.361853437,SF
0.176430782,0.027970036,0.000229702,2500,1.928,0,4.88,50,0.1727817,SF
0.293224979,0.020537164,7.02E-05,2500,3.464,0,4.82,50,0.287307552,SF
0.163500488,0.143962836,0.000682558,2500,2.12,0,3.38,50,0.160143449,SF
